Programa/Finalidade;Fundo de Financiamento ao Estudante de Ensino Superior - FIES;Fundo de Compensação das Variações Salariais - FCVS;Programa de Financiamento às Exportações - PROEX;Programa de Estímulo à Reestruturação e ao Fortalecimento das Instituições de Ensino Superior - PROIES;Concessão de Crédito - CAIXA ;Concessão de Crédito - Banco da Amazônia S/A - BASA;Concessão de Credito - BB ;Concessão de Credito - BNDES ;Concessão de Crédito - BNB ;Concessão de Crédito - Conta de Desenvolvimento Energético - CDE;Subscrição de ações da Petróleo Brasileiro S.A. - PETROBRÁS;Assunção de Dívida do ex- Território de Roraima - Credor CAIXA;Dívida Agrícola - Equalização Equivalência-Produto - Credor Banco do Brasil;Fundo Soberando do Brasil - FSB;Cobertura de Resultado Negativo do Banco Central;Carteira de Títulos do Banco Central;Outras Emissões Diretas;Assunção de Dívida da extinta RFFSA - Credora REFER;Emissão para o Fundo ID-ETF IMA-B;Programa de Reforma Agrária
Instrumento Legal;Lei nº 10.260/01;Lei nº 10.150/00;Lei nº 10.184/01;Lei nº 12.688/12 ;Legislacões  Especificas;Lei nº 12712/12;Legislacoes  Especificas;Legislações  Especificas;Lei nº 12.249/10;Lei nº 12.865/13;Lei nº 12.276/10;art. 14 do ADCT de 05/10/1988;Lei nº 9.138/95;Lei nº 11.887/08;Lei nº 11.803/08;Lei nº 10.179/01;Legislações  Especificas;Lei nº 11.483; de 31.05.2007;Lei nº 10.179/01;Decreto nº 578/92 e Lei nº 8.629/93
Títulos Emitidos;CFT-E;CVS;NTN-I;CFT-B;LTN/NTN-B;LTN;LTN/NTN-F;LTN/LFT/NTN-F/NTN-B;NTN-B;LTN/NTN-F;LFT;LTN/NTN-F/NTN-B;NTN-F/NTN-B;LTN/LFT/NTN-F/NTN-B;LTN/LFT/NTN-F/NTN-B; LTN/LFT /NTN-B;DIVERSOS;;NTN-B;TDA
jul/09;78.423,11;8.706,55;46.864,19;   -     ;   -     ;   -     ;   -     ;24.999.997,62;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;11.603.023,08;43.144,44;   -     ;   -     ; -   
ago/09;65.718,52;18.935,48;25.726,88;   -     ;   -     ;   -     ;   -     ;35.999.999,18;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ; -   
set/09;66.450,07;8.250,85;11.060,78;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;22.346.541,03;   -     ;   -     ;   -     ;   -     ;93.887,05
out/09;128.746,36;141.522,38;14.592,79;   -     ;2.000.399,70;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;25.055.330,18;   -     ;   -     ;   -     ;   -     ;167.189,58
nov/09;63.533,67;255.535,23;6.626,32;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;13.450,70
dez/09;   -     ;120.696,12;33.334,38;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;50.721.249,82;   -     ;   -     ;   -     ;   -     ;59.286,75
jan/10;60.403,95;25.696,85;   -     ;   -     ;3.999.599,60;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ; -   
fev/10;   -     ;4.202,95;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ; -   
mar/10;10.878,00;   -     ;30.453,34;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;55.333.741,12;   -     ;   -     ;   -     ;   -     ;157.204,17
abr/10;119.130,23;   -     ;7.372,70;   -     ;   -     ;   -     ;   -     ;74.199.999,16;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ; -   
